"","rank","song","singer","music_director","lyricist","movie","actors","year"
"558",20,"Shishi Bhari Gulaab Ki ","LataMangeshkar","Laxmikant Pyarelal","Anand Bakshi","Jeet","",1972
"559",21,"Bole Re Papihara, Papihara ","VaniJairam","Vasant Desai","Gulzar","Guddi","Jaya Bhaduri",1972
"560",22,"Ik Chiz Mangate Hain Kya ","AshaBhosle,KishoreKumar","Ravi","Rajinder Krishan","Babul Ki Galiyan","Hema Malini, Sanjay Khan",1972
"561",23,"Dil Kee Baate Dil Hee Jaane ","KishoreKumar,LataMangeshkar","Laxmikant Pyarelal","Asad Bhopali","Roop Tera Mastana","Mumtaz",1972
"562",24,"Hamne Ganv Ke Panghat Pe Bhai Dekhi Thi Panhariy ","Mukesh","Laxmikant Pyarelal","Anand Bakshi","Ek Bechara","Vinod Khanna, Rekha, Kalpana, Jeetendra, Bindu",1972
"563",25,"Dil Ki Kitab Kori Hai, Kori Hi Rahne Do ","SumanKalyanpur,MohammedRafi","Shankar Jaikishan","Hasrat Jaipuri","Yaar Mera","Rakhee, Jeetendra",1972
"564",26,"Janejan Dhundhata Phir Raha Hu Tumhe Rat Din ","AshaBhosle,KishoreKumar","R D Burman","Anand Bakshi","Jawani Diwani","Jaya Bhaduri, Randhir Kapoor",1972
"565",27,"Jane Mujhe Kya Hua Re ","KishoreKumar,LataMangeshkar","Kalyanji Anandji","Gulshan Bawra","Janwar Aur Insaan","Rakhee, Shashi Kapoor",1972
"566",28,"Ladki Punjab Di, Mauj Chinaab Ki, Reshma Jawan Ho Gayi ","MohammedRafi","Laxmikant Pyarelal","Anand Bakshi","Mom Ki Gudiya","Ratan Chopra, Tanuja",1972
"567",30,"Nainon Me Nindiya Hai Mathe Pe Bindia Hai ","KishoreKumar,LataMangeshkar","Kalyanji Anandji","Anand Bakshi","Joroo Ka Ghulam","Rajesh Khanna",1972
"568",31,"Mujhe Aisi Mili Hasina ","KishoreKumar","Kalyanji Anandji","Indeevar","Janwar Aur Insaan","",1972
"569",32,"Na Tu Zameen Ke Liye Hai Na Aasmaan Ke ","MohammedRafi","Laxmikant Pyarelal","Sahir Ludhianvi","Dastan","Dilip Kumar",1972
"570",34,"Ladki Chale Jab Sadko Pe Aaye Qayamat Ladko Pe ","KishoreKumar","Shankar Jaikishan","Verma Malik","Seema","",1972
"571",35,"Tik Tik Tik Tik Chalti Jaaye Ghadi ","AshaBhosle,KishoreKumar,Mukesh","Shankar Jaikishan","Neeraj","Kal Aaj Aur Kal","Randhir Kapoor, Raj Kapoor, Prithviraj Kapoor, Babita",1972
"572",36,"Chadhtee Javanee Meree Chal Mastanee ","MohammedRafi,LataMangeshkar","R D Burman","Majrooh Sultanpuri","Caravan","Aruna Irani, Jeetendra",1972
"573",37,"Aaie Aapako Main Apane Bangale Ki Sair Karaaun ","KishoreKumar","Kalyanji Anandji","Anand Bakshi","Joroo Ka Ghulam","Rajesh Khanna, Om Prakash, Nanda",1972
"574",1,"Yaari Hai Imaan Mera Yaar Meri Zingadi ","MannaDey","Kalyanji Anandji","Gulshan Bawra","Zanjeer","Amitabh Bachchan, Pran",1973
"575",2,"Baahar Se Koi Andar Na Aa Sake ","LataMangeshkar,ShailendraSingh","Laxmikant Pyarelal","Anand Bakshi","Bobby","Rishi Kapoor, Dimple Kapadia",1973
"576",3,"Do Bechaare Bina Sahaare ","KishoreKumar","Kalyanji Anandji","Verma Malik","Victoria No. 203","Navin Nischol, Saira Banu, Pran, Ashok Kumar",1973
"577",4,"Meri Bheegi Bheegi Si Palkon Pe Rahe Gaye ","KishoreKumar","R D Burman","Majrooh Sultanpuri","Anamika","Sanjeev Kumar, Jaya Bhaduri",1973
"578",5,"Samajhautaa Gamon Se Kar Lo ","KishoreKumar","Kalyanji Anandji","Indeevar","Samjhauta","Anil Dhawan",1973
"579",6,"O Tere Nainon Ke Main Dip Jalaaungaa ","LataMangeshkar,MohammedRafi","Sachin Dev Burman","Anand Bakshi","Anuraag","Ashok Kumar, Moushumi Chatterjee, Vinod Mehra",1973
"580",7,"Ab Chaahe Maa Roothhe Ya Baaba ","KishoreKumar,LataMangeshkar","Laxmikant Pyarelal","Sahir Ludhianvi","Daag","Rajesh Khanna, Sharmila Tagore",1973
"581",8,"Yaree Ho Gayee Yar Sey Lak Tunu Tunu ","LataMangeshkar","R D Burman","Majrooh Sultanpuri","Do Chor","Tanuja, Dharmendra",1973
"582",9,"Dheere Se Jana ","KishoreKumar","Sachin Dev Burman","Neeraj","Chhupa Rustam","Dev Anand, Hema Malini",1973
"583",10,"Jab Andheraa Hotaa Hai, Aadhi Raata Ke Baada Ek Chor ","AshaBhosle,BhupinderSingh","R D Burman","Anand Bakshi","Raja Rani","Rajesh Khanna",1973
"584",11,"Havaa Ke Saath Saath, Ghataa Ke Sang Sang, O Saathi Chal ","KishoreKumar,AshaBhosle","R D Burman","Anand Bakshi","Seeta Aur Geeta","Hema Malini, Sanjeev Kumar",1973
"585",12,"A B C D Chhodo ","LataMangeshkar","Laxmikant Pyarelal","Anand Bakshi","Raja Jani","Dharmendra, Hema Malini",1973
"586",13,"O Mere Dil Ke Chain, Chain Aaye Mere Dil Ko Dua Kijiye ","KishoreKumar","R D Burman","Majrooh Sultanpuri","Mere Jeevan Saathi","Tanuja, Rajesh Khanna",1973
"587",14,"Mere Paas Aao, To Mera Naam Jao ","DannyDenzongpa,LataMangeshkar","Sachin Dev Burman","Anand Bakshi","Ye Gulistan Hamara","Johnny Walker",1973
"588",15,"Muttukodi Kavaadihadaa, Aiyyo Re Pyaar Men Jo Naa Karanaa Chaahaa ","AshaBhosle,Mehmood","R D Burman","Majrooh Sultanpuri","Do Phool","Mehmood",1973
"589",16,"Tere Mere Milan Ki Yeh Raina ","KishoreKumar,LataMangeshkar","Sachin Dev Burman","Majrooh Sultanpuri","Abhimaan","Amitabh Bachchan, Jaya Bhaduri",1973
"590",17,"Dhire Dhire Bol Koyee Sun Naa Le ","LataMangeshkar,Mukesh","Laxmikant Pyarelal","Anand Bakshi","Gora Aur Kala","Hema Malini",1973
"591",18,"Gir Gaya Jhumaka Girne Do ","KishoreKumar,LataMangeshkar","Sachin Dev Burman","Anand Bakshi","Jugnu","Prem Chopra, Pran, Hema Malini, Dharmendra",1973
"592",19,"Kalee Palak Teree Goree Khulane Lagee ","LataMangeshkar,KishoreKumar","R D Burman","Majrooh Sultanpuri","Do Chor","Tanuja, Dharmendra",1973
"593",21,"Main Ek Chor Tu Meri Raani ","KishoreKumar,LataMangeshkar","R D Burman","Anand Bakshi","Raja Rani","Rajesh Khanna, Sharmila Tagore",1973
"594",22,"Sansaar Ki Har Shay Kaa Itanaa Hi Fasaanaa Hai ","MahendraKapoor","Ravi","Sahir Ludhianvi","Dhund","Navin Nischol, Danny Denzongpa, Zeenat Aman, Sanjay Khan",1973
"595",23,"Mit Na Mila Re Man Ka ","KishoreKumar","Sachin Dev Burman","Majrooh Sultanpuri","Abhimaan","Asrani, Amitabh Bachchan",1973
"596",25,"Musafir Hoon Yaaro Na Ghar Hai Na Thikana ","KishoreKumar","R D Burman","Gulzar","Parichay","Jeetendra",1973
"597",26,"Tu Na Mili To Hum Jogi Ban ","KishoreKumar","Kalyanji Anandji","Indeevar","Victoria No. 203","Navin Nischol, Saira Banu, Pran, Ashok Kumar",1973
"598",27,"Goree Goree Gaanv Kee Goree Re ","LataMangeshkar,KishoreKumar","Sachin Dev Burman","Anand Bakshi","Ye Gulistan Hamara","Dev Anand, Sharmila Tagore",1973
"599",28,"Gum Hai Kisi Ke Pyaar Men Dil Subah Shaam ","KishoreKumar,LataMangeshkar","R D Burman","Majrooh Sultanpuri","Raampur Ka Lakshman","Rekha, Randhir Kapoor",1973
"600",29,"Aaj Mausam Bada Baiman Hai ","MohammedRafi","Laxmikant Pyarelal","Anand Bakshi","Loafer","Dharmendra, Mumtaz",1973
"601",30,"Bure Bhi Ham Bhale Bhi Ham ","KishoreKumar","Kalyanji Anandji","Anjaan","Banarsi Babu","Dev Anand",1973
"602",31,"Sun Ri Pavan, Pavan Purvaiyyaa, Main Hun Akeli Alabeli ","LataMangeshkar","Sachin Dev Burman","Anand Bakshi","Anuraag","Moushumi Chatterjee, Vinod Mehra",1973
"603",32,"Jhoot Bole Kauva Kaate ","LataMangeshkar,ShailendraSingh","Laxmikant Pyarelal","Vithalbhai Patel","Bobby","Prem Nath, Rishi Kapoor, Dimple Kapadia",1973
"604",33,"Deewane Hai Deewane Ko ","LataMangeshkar","Kalyanji Anandji","Gulshan Bawra","Zanjeer","Pran, Ajit, Amitabh Bachchan, Jaya Bhaduri",1973
"605",34,"Jara Sa Usko Chhua To ","LataMangeshkar","Laxmikant Pyarelal","Santosh Anand","Shor","Jaya Bhaduri, Premnath, Manoj Kumar",1973
"606",35,"Kai Sadiyo Se, Kai Janmo Se, Tere Pyar Ko Tarse Mera Man ","Mukesh","Brij Bhushan","Naqsh Lyallpuri","Milap","Reena Roy, Shatrughan Sinha",1973
"607",36,"Bahon Mein Chale Aao ","LataMangeshkar","R D Burman","Majrooh Sultanpuri","Anamika","Jaya Bhaduri, Sanjeev Kumar",1973
