"","rank","song","singer","music_director","lyricist","movie","actors","year"
"1",1,"Ye Zindagi Usi Ki Hai, Jo Kisi Ka Ho Gaya, Pyar Hi Me Kho Gaya ","LataMangeshkar","Chitalkar Ramchandra","Rajinder Krishan","Anarkali","Bina Roy, Pradeep Kumar",1953
"2",2,"Shaam-E-Gham Ki Kasam ","TalatMahmood","Khayyam","Ali Sardar Jafri, Majrooh Sultanpuri","Footpath","Dilip Kumar",1953
"3",3,"Muhaabbat Ki Daastaan Aaj Suno ","LataMangeshkar","Shankar Jaikishan","Hasrat Jaipuri","Mayur Pankh","Sumitra Devi, Kishore Sahu, Asha Mathur",1953
"4",4,"Ae Gham-E-Dil Kya Karu (By Talat Mahmood) ","TalatMahmood","Sardar Malik","Majaz Lucknavi","Thokar","Shyama, Shammi Kapoor",1953
"5",5,"Yaad Kiya Dil Ne Kahaan Ho Tum ","HemantKumar,LataMangeshkar","Shankar Jaikishan","Hasrat Jaipuri","Patita","Usha Kiran, Dev Anand",1953
"6",6,"Zindagi Denewale Sun, Teri Duniya Se Dil Bhar Gaya ","TalatMahmood","Ghulam Mohammad","Shakeel Badayuni","Dil - E - Nadan","Talat Mahmood",1953
"7",7,"Aaja Re, Ab Mera Dil Pukara ","LataMangeshkar,Mukesh","Shankar Jaikishan","Hasrat Jaipuri","Aah","Nargis, Raj Kapoor",1953
"8",8,"Bahaaren Bech Daalin, Ai Pyaar Teri Duniyaa Se Ham ","LataMangeshkar","Chitalkar Ramchandra","Rajinder Krishan","Jhanjhar","Motilal, Kamini Kaushal",1953
"9",9,"Mausam Bita Jaye, Mausam Bita Jaye ","LataMangeshkar,MannaDey","Salil Chowdhury","Shailendra","Do Bigha Zamin","Balraj Sahni, Nirupa Roy, Meena Kumari, Ratan Kumar",1953
"10",10,"Kaare Badaraa Tu Na Jaa Na Jaa Bairi Tu Bides Na Jaa ","LataMangeshkar","Shankar Jaikishan","Shailendra","Shikast","Nalini Jaywant",1953
"11",11,"Aa Mohabat Ki Basti Basayege Hum ","LataMangeshkar,KishoreKumar","Anil Biswas","Majrooh Sultanpuri","Fareb","Shakuntala Paranjpye, Kishore Kumar",1953
"12",12,"Kahe Jaadu Kiya Aa ","ShamshadBegum","Shaukat Dehlvi Nashad","Nakhshab Jaaravchi","Naghma","Ashok Kumar, Nadira",1953
"13",1,"Jayen To Jayen Kahan, Samjhega Kaun Yaha Dard Bhare Dil Ki Juban ","TalatMahmood","Sachin Dev Burman","Sahir Ludhianvi","Taxi Driver","Dev Anand",1954
"14",2,"Man Dole Mera Tan Dole ","LataMangeshkar","Hemant Kumar","Rajinder Krishan","Nagin","Vyjayantimala, Pradeep Kumar, Jeevan",1954
"15",3,"Ye Lo Main Haari Piyaa, Hui Teri Jit Re ","GeetaDutt","O P Nayyar","Majrooh Sultanpuri","Aar Paar","Shakila, Guru Dutt",1954
"16",4,"Insaaf Ka Mandir Hai Ye Bhagavaan Ka Ghar Hai ","MohammedRafi","Naushad","Shakeel Badayuni","Amar","Dilip Kumar, Madhubala",1954
"17",5,"Rahi Matwale, Tu Chhed Ek Baar ","Suraiya,TalatMahmood","Anil Biswas","Qamar Jalalabadi","Waris","Suraiya, Talat Mahmood",1954
"18",6,"Chandaamaamaa Dur Ke Pue Pakaaen Bur Ke ","AshaBhosle","Ravi Shankar","Ravi","Vachan","",1954
"19",7,"Man Ki Bin Matwari Baje ","LataMangeshkar,MohammedRafi","Naushad","Shakeel Badayuni","Shabab","Nutan, Bharat Bhushan",1954
"20",8,"Kaise Koyi Jiye Jeher Hai Jindagi ","GeetaDutt","S K Pal, Timir Baran","Indeevar","Baadbaan","",1954
"21",9,"Chhota Sa Ghar Hoga Badlo Ki Chhanv Me ","KishoreKumar,UshaMangeshkar","Salil Chowdhury","Shailendra","Naukari","Sheela Ramani, Kishore Kumar",1954
"22",10,"Na Ye Chand Hoga Na Tare Rahenge (By Geeta Dutt) ","GeetaDutt","Hemant Kumar","S H Bihari","Shart","Shyama, Deepak",1954
"23",11,"Gayaa Andheraa Huaa Ujaaraa Chamakaa Chamakaa Subah Kaa Taaraa ","LataMangeshkar,TalatMahmood","Chitalkar Ramchandra","Noor Lucknowi","Subah Ka Tara","",1954
"24",12,"Kabhi Aar Kabhi Paar Laga Tire Najar ","ShamshadBegum","O P Nayyar","Majrooh Sultanpuri","Aar Paar","Guru Dutt, Shakila, Shyama",1954
"25",13,"Aaj Achanak Rut Key Mujh Se (Bolo He Zamin, Bolo Aasman) ","MohammedRafi","Avinash Vyas","Kavi Pradeep","Chakradhari","Nirupa Roy, Trilok Kapoor",1954
"26",14,"Jaadugar Sainyaa Chhodo Mori Bainyaa ","LataMangeshkar","Hemant Kumar","Rajinder Krishan","Nagin","Vyjayantimala, Pradeep Kumar",1954
"27",15,"Main Peeke Nahin Aaya ","TalatMahmood","Chitalkar Ramchandra","Rajinder Krishan","Kavi","Talat Mahmood",1954
"28",16,"Na Milta Gam To Barbadi Ke Afsaane Kaha Jate ","LataMangeshkar","Naushad","Shakeel Badayuni","Amar","Dilip Kumar, Nimmi",1954
"29",1,"Mera Joota Hai Japani Ye Panloon Englishtani ","Mukesh","Shankar Jaikishan","Shailendra","Shree 420","Raj Kapoor",1955
"30",2,"Meraa Salaam Le Ja, Dil Kaa Payaam Le Ja ","LataMangeshkar","Naushad","Shakeel Badayuni","Uran Khatola","Nimmi",1955
"31",3,"Man Dole Mera Tan Dole ","LataMangeshkar","Hemant Kumar","Rajinder Krishan","Nagin","Vyjayantimala, Pradeep Kumar, Jeevan",1955
"32",4,"Chale Aaj Tum Jahaan Se, O Dur Ke Musaafir ","MohammedRafi","Naushad","Shakeel Badayuni","Uran Khatola","Dilip Kumar, Nimmi",1955
"33",5,"Ichak Dana Bichak Dana ","Mukesh,LataMangeshkar","Shankar Jaikishan","Hasrat Jaipuri","Shree 420","Raj Kapoor, Nargis",1955
"34",6,"Dekh Tere Sansaar Ki Haalat Kyaa Ho Gai Bhagavaan ","KaviPradeep","Chitalkar Ramchandra","Kavi Pradeep","Nastik","Ajit",1955
"35",7,"Meraa Dil Ye Pukaare Aa Jaa ","LataMangeshkar","Hemant Kumar","Rajinder Krishan","Nagin","Vyjayantimala, Pradeep Kumar",1955
"36",8,"De Di Hame Aazadi Bina Khadag Bina Dhaal ","AshaBhosle","Hemant Kumar","Kavi Pradeep","Jagriti","Abhi Bhattacharya",1955
"37",9,"Jeevan Ke Safar Mein Rahi ","KishoreKumar","Sachin Dev Burman","Sahir Ludhianvi","Munimji","Nalini Jaywant, Dev Anand",1955
"38",10,"Chalo Chale Mann Sapano Ke Ganv Me ","AshaBhosle","Hemant Kumar","Kavi Pradeep","Jagriti","Pronoti Ghose, Ratan Kumar",1955
"39",11,"Hayyaa Ho Hayyaa Re Hayyaa, More Sayyaanji Utarenge Paar Ho ","LataMangeshkar","Naushad","Shakeel Badayuni","Uran Khatola","Dilip Kumar, Nimmi",1955
"40",12,"Hai Bas Ki Har Ek Un Ke Ishaare Me Nishaan Aur ","MohammedRafi","Ghulam Mohammad","Mirza Ghalib","Mirza Ghalib","Bharat Bhushan, Murad",1955
"41",13,"Barakhaa Ki Raat Me He Ho Haa ","GeetaDutt","Jagmohan","Uddhav Kumar","Sardar","Ashok Kumar, Bina Roy, Nigar Sultana",1955
"42",14,"Mat Bhool Are Insaan Teri Neki ","MohammedRafi","Madan Mohan","Rajinder Krishan","Mastana","Nigar Sultana",1955
"43",15,"Gul Muskara Utha Bulbul Ye Ga Utha, Baghon Me Agayi Bahar ","LataMangeshkar","Shankar Jaikishan","Shailendra","Badshah","Usha Kiran, Pradeep Kumar",1955
"44",16,"Udhar Tum Hasin Ho Idhar Dil Javaan Hai ","MohammedRafi,GeetaDutt","O P Nayyar","Majrooh Sultanpuri","Mr. & Mrs. 55","Madhubala",1955
"45",1,"Ae Dil Hai Mushkil Jina Yaha, Zara Hatke ","GeetaDutt,MohammedRafi","O P Nayyar","Majrooh Sultanpuri","C. I. D.","Johnny Walker",1956
"46",2,"Nain So Nain Nahin Milao ","HemantKumar,LataMangeshkar","Vasant Desai","Hasrat Jaipuri","Jhanak Jhanak Payal Baje","Gopi Krishna, Sandhya",1956
"47",3,"Tu Pyar Ka Sagar Hai Teri Ek Bund Ke Pyase Hum ","MannaDey","Shankar Jaikishan","Shailendra","Seema","Balraj Sahni",1956
"48",4,"Nirbal Se Ladai Balvan Ki, Ye Kahani Hai Diye Ki Aur Tufaan Ki ","MannaDey","Vasant Desai","Bharat Vyas","Toofan Aur Deeya","Nanda, Ulhas, Rajendra Kumar",1956
"49",5,"Ai Dil Mujhe Bata De, Tu Kis Pe Aa Gaya Hai ","GeetaDutt","Madan Mohan","Rajinder Krishan","Bhai Bhai","Ashok Kumar, Shyama",1956
"50",6,"Leke Pahla Pahla Pyar (Part ","ShamshadBegum,MohammedRafi","O P Nayyar","Majrooh Sultanpuri","C. I. D.","Sheela Vaz, Dev Anand, Shakeela",1956
"51",7,"Halke Halke Chalo Saanvare ","HemantKumar,LataMangeshkar","Salil Chowdhury","Prem Dhawan","Tangawali","Anita Guha, Shammi Kapoor, Nirupa Roy, Jayant, Balraj Sahni, Gope",1956
"52",8,"Kaise Aao Jamuna Ke Tir Re ","LataMangeshkar","Chitalkar Ramchandra","Rajinder Krishan","Devta","Anjali Devi",1956
"53",9,"Aankhon Hi Aankhon Men Ishaaraa Ho Gayaa ","GeetaDutt,MohammedRafi","O P Nayyar","Jan Nisar Akhtar","C. I. D.","Waheeda Rehman, Dev Anand, Shakila",1956
"54",10,"Piya Piya Piya Mora Jiya Pukare, Hum Bhi Chalenge Saiya Sang Tumhare ","AshaBhosle,KishoreKumar","O P Nayyar","Jan Nisar Akhtar","Baap Re Baap","Kishore Kumar, Chand Usmani",1956
"55",11,"Meraa Nam Abdul Rehman ","LataMangeshkar,KishoreKumar","Madan Mohan","Rajinder Krishan","Bhai Bhai","Kishore Kumar, Nimmi",1956
"56",12,"Dil Dil Se Mila Kar Dekho, Nazro Me Sama Kar Dekho (Male Version) ","KishoreKumar","Madan Mohan","Rajinder Krishan","Mem Sahib","Kishore Kumar, Meena Kumari",1956
"57",13,"Garibo Ka Pasina Bah Raha Hai ","MohammedRafi","Madan Mohan","Rajinder Krishan","Naya Aadmi","N T Rama Rao",1956
"58",14,"Rimjhim Rimjhim Barkha Barse Nain More Tarse ","LataMangeshkar","Salil Chowdhury","Prem Dhawan","Tangawali","Anita Guha, Shammi Kapoor, Nirupa Roy, Jayant, Gope, Balraj Sahni",1956
"59",15,"Zindagi Khawab Hai, Khvaab Me Jhuth Kya Aur Bhala Sach Hai Kya ","Mukesh","Salil Chowdhury","Shailendra","Jagte Raho","Raj Kapoor, Motilal",1956
"60",16,"Aaja Sanam Madhur Chandnee Me ","MannaDey,LataMangeshkar","Shankar Jaikishan","Hasrat Jaipuri","Chori Chori","Raj Kapoor, Nargis",1956
"61",1,"Zara Samne To Aao Chhaliye, Chhup Chhup Chhalane Men Kya Raz Hai ","LataMangeshkar,MohammedRafi","S N Tripathi","Bharat Vyas","Janam Janam Ke Phere","Nirupa Roy",1957
"62",2,"Sar Jo Tera Chakraye ","MohammedRafi","Sachin Dev Burman","Sahir Ludhianvi","Pyaasa","Johnny Walker",1957
"63",3,"Laal Laal Gaal, Jaan Ke Hai Laagu ","MohammedRafi","N Datta","Majrooh Sultanpuri","Mr. X","",1957
"64",4,"Panchhi Banun Udati Phirun Mast Gagan Men ","LataMangeshkar","Shankar Jaikishan","Hasrat Jaipuri","Chori Chori","Raj Kapoor, Nargis",1957
"65",5,"Aankhon Men Kyaa Ji, Rupahalaa Baadal ","AshaBhosle,KishoreKumar","Sachin Dev Burman","Majrooh Sultanpuri","Nau Do Gyarah","Dev Anand, Kalpana Kartik",1957
"66",6,"Chhod Do Aanchal Jamaana Kya Kahega ","AshaBhosle,KishoreKumar","Sachin Dev Burman","Majrooh Sultanpuri","Paying Guest","Dev Anand, Nutan",1957
"67",7,"O Raat Ke Musafir, Chanda Zara Bata De ","LataMangeshkar,MohammedRafi","Hemant Kumar","Rajinder Krishan","Miss Mary","Gemini Ganesan, Meena Kumari",1957
"68",8,"Antam Fantam Chhod De Baabu Ho Gai Teri Haar ","AshaBhosle","O P Nayyar","Majrooh Sultanpuri","Hum Sab Chor Hain","Shammi Kapoor, Pran, Nalini Jaywant, Ameeta",1957
"69",9,"Mana Janab Ne Pukara Nahi, Kya Mera Saath Bhi Gawara Nahi ","KishoreKumar","Sachin Dev Burman","Majrooh Sultanpuri","Paying Guest","Dev Anand, Nutan",1957
"70",10,"Chup Ho Ja Amiro Ke Ye Sone Ki Ghadi Hai ","KishoreKumar","Hemant Kumar","Rajinder Krishan","Bandi","",1957
"71",11,"Munnaa Badaa Pyaaraa Ammi Kaa Dulaaraa ","KishoreKumar","Salil Chowdhury","Shailendra","Musafir","Nirupa Roy, Kishore Kumar",1957
"72",12,"Aaja Jara Mere Dil Ke Sahare Dilruba ","HemantKumar,GeetaDutt","Hemant Kumar","S H Bihari","Ek Jhalak","",1957
"73",13,"Nain Mile Chain Kaha, Dil Hai Wahi Tu Hai Jaha ","MannaDey,LataMangeshkar","Shankar Jaikishan","Shailendra","Basant Bahaar","Nimmi, Bharat Bhushan",1957
"74",14,"Iinaa Minaa Dikaa Daai Daamonikaa ","KishoreKumar,AshaBhosle","Chitalkar Ramchandra","Rajinder Krishan","Aasha","Vyjayantimala, Pran, Om Prakash, Meenu Mumtaz, Kishore Kumar",1957
"75",15,"Maang Ke Saath Tumhara ","MohammedRafi,AshaBhosle","O P Nayyar","Sahir Ludhianvi","Naya Daur","Dilip Kumar, Vyjayantimala",1957
"76",16,"Main Bambai Kaa Baabu Naam Meraa Anjaanaa ","MohammedRafi","O P Nayyar","Sahir Ludhianvi","Naya Daur","Johnny Walker, Dilip Kumar",1957
"77",18,"Chhup Gaya Koi Re Dur Se Pukar Ke ","LataMangeshkar","Hemant Kumar","Rajinder Krishan","Champa Kali","Suchitra Sen, Bharat Bhushan",1957
"78",19,"Ude Jab Jab Julfen Teree ","AshaBhosle,MohammedRafi","O P Nayyar","Sahir Ludhianvi","Naya Daur","Vyjayantimala, Ajit, Dilip Kumar",1957
"79",20,"Mr John Ya Baba Khan Ya Lala Roshandan ","AshaBhosle","Chitalkar Ramchandra","Rajinder Krishan","Baarish","Nutan, Lalita Pawar, Kumkum, Jagdish Sethi, Gope, Dev Anand, Anwar Husain",1957
"80",21,"Badi Der Bhayi, Kab Loge Khabar More Ram ","MohammedRafi","Shankar Jaikishan","Shailendra","Basant Bahaar","Manmohan Krishan, Nimmi, Bharat Bhushan",1957
"81",22,"Thandi Thandi Hawa Puchhe Unka Pata ","GeetaDutt,AshaBhosle","O P Nayyar","Hasrat Jaipuri","Johny Walker","",1957
"82",23,"Shammaa Jalati Hai Jale, Haay Haay Haay Ye Nigaahen ","KishoreKumar","Sachin Dev Burman","Majrooh Sultanpuri","Paying Guest","Dev Anand, Nutan",1957
"83",24,"Ai Meree Topee Palat Ke Aa ","KishoreKumar","Sachin Dev Burman","Sahir Ludhianvi","Funtoosh","Dev Anand",1957
"84",25,"Ye Raat Bheegi Bheegi Ye Mast Fijaye ","MannaDey,LataMangeshkar","Shankar Jaikishan","Shailendra","Chori Chori","Raj Kapoor, Nargis",1957
"85",26,"Kali Ke Rup Men Chali Ho Dhup Men Kahaan ","AshaBhosle,MohammedRafi","Sachin Dev Burman","Majrooh Sultanpuri","Nau Do Gyarah","Dev Anand, Kalpana Kartik",1957
"86",27,"O Mr Benjo, Ishara To Samjho ","MohammedRafi,AshaBhosle","O P Nayyar","Majrooh Sultanpuri","Hum Sab Chor Hain","Shammi Kapoor, Nalini Jaywant",1957
"87",28,"Aha Badla Zamana, Vaah Vaah Badla Zamana ","MohammedRafi","Sachin Dev Burman","Rajinder Krishan","Miss India","Pradeep Kumar, I S Johar",1957
"88",29,"Ye Mard Bade Dil Sard ","LataMangeshkar","Hemant Kumar","Rajinder Krishan","Miss Mary","Om Prakash, Gemini Ganesan, Meena Kumari",1957
"89",30,"Jaane Kyaa Tune Kahi Jaane Kyaa Maine Suni ","GeetaDutt","Sachin Dev Burman","Sahir Ludhianvi","Pyaasa","Waheeda Rehman, Guru Dutt",1957
"90",31,"Chun Chun Karati Aai Chidiyaa ","MohammedRafi","Dattaram Wadkar","Shailendra","Ab Dilli Door Nahin","Yaqub, Sulochana, Romi, Nana Palsikar, Motilal",1957
"91",32,"Din Albele Pyar Ka Mausam ","LataMangeshkar,MannaDey","Shankar Jaikishan","Hasrat Jaipuri","Begunah","",1957
"92",33,"Reshami Salawaar Kudataa Jaali Kaa ","ShamshadBegum,AshaBhosle","O P Nayyar","Sahir Ludhianvi","Naya Daur","Vyjayantimala, Dilip Kumar, Ajit",1957
"93",34,"Jaago Mohan Pyaare ","LataMangeshkar","Salil Chowdhury","Shailendra","Jagte Raho","Raj Kapoor, Pradeep Kumar, Nargis, Motilal",1957
"94",1,"Hai Apna Dil To Aawara, Na Jane Kis Pe Aayega (Sad Version) ","HemantKumar","Sachin Dev Burman","Majrooh Sultanpuri","Solva Saal","Waheeda Rehman, Dev Anand",1958
"95",2,"C A T Cat Mane Billi ","KishoreKumar","Ravi","Majrooh Sultanpuri","Dilli Ka Thug","Kishore Kumar, Nutan",1958
"96",3,"Bol Ri Kathputli Dori Kaun Sang Bandhi (Sad Version) ","LataMangeshkar","Shankar Jaikishan","Shailendra","Kathputli","Vyjayantimala",1958
"97",4,"Meri Ja Meri Ja, Pyar Kisi Se, Ho Hi Gaya Hai, Ham Kya Kare ","LataMangeshkar","Shankar Jaikishan","Shailendra","Yahudi","Dilip Kumar, Meena Kumari",1958
"98",5,"Suhana Safar Aur Ye Mausam Hasin ","Mukesh","Salil Chowdhury","Shailendra","Madhumati","Dilip Kumar",1958
"99",6,"Tera Teer O Bepeer Dil Ke Aar Paar Ha ","LataMangeshkar","Shankar Jaikishan","Shailendra","Shararat","Kumkum, Kishore Kumar",1958
"100",7,"Dil Se Tujhko Bedili Hai, Yeh Mera Diwanapan Hai, Ya Muhabbat Ka Surur ","Mukesh","Shankar Jaikishan","Shailendra","Yahudi","Dilip Kumar",1958
"101",8,"Chal Ud Ja Re Panchhi, Ke Ab Ye Desh Hua Begana (Part ","MohammedRafi","Chitragupt","Rajinder Krishan","Bhabhi","Pandhari Bai, Balraj Sahni, Nanda",1958
"102",9,"Chali Chali Re Patang Meree Chali Re ","MohammedRafi,LataMangeshkar","Chitragupt","Rajinder Krishan","Bhabhi","Nanda, Jagdeep",1958
"103",10,"Yun To Hamane Laakh Hasin Dekhe Hain, Tumasaa Nahin Dekhaa ","MohammedRafi","O P Nayyar","Sahir Ludhianvi","Tumsa Nahin Dekha","Shammi Kapoor, Ameeta",1958
"104",11,"Zara Ruk Ja Pyare Ruk Ja ","MohammedRafi","Sachin Dev Burman","Majrooh Sultanpuri","Sitaron Se Aage","Johnny Walker",1958
"105",12,"Duniya Men Ham Ae Hain To Jina Hi Padega ","UshaMangeshkar,LataMangeshkar","Naushad","Shakeel Badayuni","Mother India","Nargis, Sajid Khan",1958
"106",13,"Nagari Nagari Dvaare Dvaare Dhundhun Re Saanvariyaa ","LataMangeshkar","Naushad","Shakeel Badayuni","Mother India","Sajid Khan, Nargis",1958
"107",14,"Sar Par Topi Laal Hath Me Resham Ka Rumal, Ho Tera Kya Kehna ","AshaBhosle,MohammedRafi","O P Nayyar","Majrooh Sultanpuri","Tumsa Nahin Dekha","Ameeta, Shammi Kapoor",1958
"108",15,"Iit Ki Dukki Paan Kaa Ikkaa, Suno Ji Ye Kalakattaa Hai ","ShamshadBegum,MohammedRafi","O P Nayyar","Qamar Jalalabadi","Howrah Bridge","Om Prakash, Ashok Kumar",1958
"109",16,"Baagad Bam Bam Bam Baaje Damaru ","LataMangeshkar","Shankar Jaikishan","Hasrat Jaipuri","Kathputli","Agha, Balraj Sahni, Jawahar Kaul, Vyjayantimala",1958
"110",17,"Pyar Par Bas To Nahin Hai Mera ","TalatMahmood,AshaBhosle","O P Nayyar","Sahir Ludhianvi","Sone Ki Chidiya","Talat Mahmood, Nutan",1958
"111",18,"Ek Pardesi Mera Dil Le Gaya, Jaate Jaate Mitha Mitha Gham De Gaya ","MohammedRafi,AshaBhosle","O P Nayyar","Qamar Jalalabadi","Phagun","Bharat Bhushan, Madhubala",1958
"112",19,"Bada Hi C I D Hai Wo Neeli Chhatri Wala ","MohammedRafi","Madan Mohan","Rajinder Krishan","Chandan","Johnny Walker",1958
"113",20,"Ae Maalik Tere Bande Ham (Female Version) ","LataMangeshkar","Vasant Desai","Bharat Vyas","Do Ankhen Barah Haath","Sandhya, V Shantaram",1958
"114",21,"Mama O Mama O Mama Mama Mama ","MannaDey,MohammedRafi","Dattaram Wadkar","Hasrat Jaipuri","Parvarish","Mehmood, Raj Kapoor",1958
"115",22,"Kaho Ji Tum Kya-Kya, Suno Ji Tum Kya-Kya ","LataMangeshkar","N Datta","Sahir Ludhianvi","Sadhna","Vyjayantimala",1958
"116",23,"Tim Tim Tim Taaron Ke Dip Jale ","TalatMahmood,LataMangeshkar","Vasant Desai","Bharat Vyas","Mausi","Sumati Gupte",1958
"117",24,"Chhedo Dhun Matwalo Ki Bahki Bahki Chalo Ki ","MohammedRafi","Ravi","Majrooh Sultanpuri","Ghar Sansar","Johnny Walker",1958
"118",25,"Main Bangali Chhokra ","KishoreKumar,AshaBhosle","O P Nayyar","Qamar Jalalabadi","Raagini","Kishore Kumar, Padmini",1958
"119",26,"Aurat Ne Janam Diyaa Mardon Ko, Maradon Ne Use Baazaar Diyaa ","LataMangeshkar","N Datta","Sahir Ludhianvi","Sadhna","Vyjayantimala",1958
"120",27,"Sari Sari Rat Teri Yad Sataye ","LataMangeshkar","Roshan","Farooq Qaisar","Aji Bas Shukriya","Geeta Bali",1958
"121",28,"Surama Meraa Nirala, Aankho Me Jisane Dala ","KishoreKumar","O P Nayyar","Majrooh Sultanpuri","Kabhi Andhera Kabhi Ujala","",1958
"122",29,"Aaja Re Perdesi, Main To Kab Se Khadi Is Paar ","LataMangeshkar","Salil Chowdhury","Shailendra","Madhumati","Vyjayantimala",1958
"123",30,"Chor Lutere Daku ","GeetaDutt","O P Nayyar","Jan Nisar Akhtar","Ustad","",1958
"124",31,"Manzil Vahi Hai Pyaar Ki, Rahi Badal Gaye ","SubirSen","Shankar Jaikishan","Shailendra","Kathputli","Vyjayantimala, Balraj Sahni",1958
"125",32,"Ham Matvale Naujavan, Manzilon Ke Ujale ","KishoreKumar","Shankar Jaikishan","Hasrat Jaipuri","Shararat","Raaj Kumar, Meena Kumari, Kumkum, Kishore Kumar",1958
"126",1,"Haal Kaisaa Hai Janaab Kaa, Kyaa Khayaal Hai Aapakaa ","KishoreKumar,AshaBhosle","Sachin Dev Burman","Majrooh Sultanpuri","Chalti Ka Naam Gaadi","Madhubala, Kishore Kumar",1959
"127",2,"Zaahid Sharaab Pine De Masjid Me Baithkar, Mujhko Yaro Maaf Karna Main Nashe Me Hun ","Mukesh","Shankar Jaikishan","Shailendra","Main Nashe Mein Hoon","Raj Kapoor, Mala Sinha",1959
"128",3,"Sab Kuchh Sikha Hamne Na Sikhi Hoshiyari ","Mukesh","Shankar Jaikishan","Shailendra","Anari","Raj Kapoor, Nutan",1959
"129",5,"Hum Bekhudi Mein Tumko Pukare Chale Gaye ","MohammedRafi","Sachin Dev Burman","Majrooh Sultanpuri","Kala Pani","Dev Anand",1959
"130",6,"Aa Laut Ke Aaja Mere Meet ","Mukesh","S N Tripathi","Bharat Vyas","Rani Roopmati","Nirupa Roy, Bharat Bhushan",1959
"131",7,"Jhumata Mausam Mast Mahina ","MannaDey,LataMangeshkar","Shankar Jaikishan","Hasrat Jaipuri","Ujala","Shammi Kapoor, Mala Sinha",1959
"132",8,"Mai Rangila Pyar Kaa Rahee ","LataMangeshkar,SubirSen","Shankar Jaikishan","Hasrat Jaipuri","Chhoti Bahen","Shobha Khote, Mehmood",1959
"133",9,"O Kali Anaar Ki Na Itna Satao ","LataMangeshkar,MannaDey","Shankar Jaikishan","Hasrat Jaipuri","Chhoti Bahen","Shyama, Rehman",1959
"134",10,"Ruk Jaa O Jaanevaali Ruk Jaa, Main To Raahi Teri Manzil Kaa ","Mukesh","Shankar Jaikishan","Shailendra","Kanhaiya","Nutan, Raj Kapoor",1959
"135",11,"Maine Pina Sikh Liya ","MohammedRafi","Vasant Desai","Bharat Vyas","Goonj Uthi Shahnai","Rajendra Kumar, Ameeta",1959
"136",12,"Ek Ladki Bhigi Bhagi Si ","KishoreKumar","Sachin Dev Burman","Majrooh Sultanpuri","Chalti Ka Naam Gaadi","Madhubala, Kishore Kumar",1959
"137",13,"Dekh Hamen Aavaaz Na Denaa ","AshaBhosle,MohammedRafi","Chitalkar Ramchandra","Rajinder Krishan","Amar Deep","Dev Anand, Vyjayantimala",1959
"138",14,"Main Rikhsha Wala, Main Riksha Wala ","MohammedRafi","Shankar Jaikishan","Shailendra","Chhoti Bahen","Mehmood",1959
"139",15,"Tim Tim Karte Tare Ye Kahte Hai Sare (Happy Version) ","LataMangeshkar","Ravi","Ravi","Chiragh Kahan Roshni Kahan","Meena Kumari, Honey Irani",1959
"140",16,"Tum Chal Rahe Ho, Ham Chal Rahe Hai, Magar Duniya Walo Ke Dil Jal Rahe Hai ","Mukesh,LataMangeshkar","Madan Mohan","Rajinder Krishan","Duniya Na Mane","Pradeep Kumar, Mala Sinha",1959
"141",17,"Jalte Hain Jiske Liye ","TalatMahmood","Sachin Dev Burman","Majrooh Sultanpuri","Sujata","Sunil Dutt, Nutan",1959
"142",18,"Mujhe Tum Se Kuchh Bhee Naa Chahiye ","Mukesh","Shankar Jaikishan","Shailendra","Kanhaiya","Raj Kapoor, Nutan",1959
"143",19,"Tera Jalwa Jisne Dekha, Woh Tera Ho Gaya ","LataMangeshkar","Shankar Jaikishan","Hasrat Jaipuri","Ujala","Raaj Kumar, Kumkum",1959
"144",20,"Chin O Arab Hamaaraa Hindostaan Hamaaraa ","Mukesh","Khayyam","Sahir Ludhianvi","Phir Subah Hogi","Raj Kapoor",1959
"145",21,"Chand Sa Mukhda Kyo Sharmaya ","AshaBhosle,MohammedRafi","Sachin Dev Burman","Shailendra","Insaan Jaag Utha","Madhubala, Sunil Dutt",1959
"146",22,"Ban Ke Panchhi Gaaye Pyar Ka Tarana ","LataMangeshkar","Shankar Jaikishan","Hasrat Jaipuri","Anari","Nutan",1959
"147",23,"Tin Kanashtar Peet Peet Kar Gala Phaad Kar Chillana ","MohammedRafi","Shankar Jaikishan","Shailendra","Love Marriage","Mala Sinha, Dev Anand",1959
"148",24,"Bhaiya Mere Rakhi Ke Bandhan Ko Nibhana (Happy Version) ","LataMangeshkar","Shankar Jaikishan","Shailendra","Chhoti Bahen","Balraj Sahni, Rehman, Nanda",1959
"149",25,"Bikhar Gaye Bachpan Ke Sapne, Kah Do Koi Na Kare Yahan Pyar ","MohammedRafi","Vasant Desai","Bharat Vyas","Goonj Uthi Shahnai","Rajendra Kumar, Ameeta, Anita Guha",1959
"150",26,"Babu Samjho Ishare Horn Pukare Pam Pam Pam ","AshokKumar,KishoreKumar,MannaDey","Sachin Dev Burman","Majrooh Sultanpuri","Chalti Ka Naam Gaadi","Kishore Kumar, Ashok Kumar, Anoop Kumar",1959
"151",27,"Ajab Hai Maalik Tera Jaha, Chirag Kaha Roshni Kaha ","MohammedRafi","Ravi","Prem Dhawan","Chiragh Kahan Roshni Kahan","Rajendra Kumar, Meena Kumari, Honey Irani",1959
"152",28,"Dil Deke Dekho, Dil Deke Dekho ","AshaBhosle,MohammedRafi","Usha Khanna","Majrooh Sultanpuri","Dil Deke Dekho","Shammi Kapoor, Asha Parekh",1959
