Song ,Film ,Music Director,Lyricist,Singer(s),AB,PB,BH
Toh chalooñ (Ai jaatey huye lamho),Border,Anu Malik ,Javed Akhtar ,Roop Kumar Rathod,Y, , 
Head ya tail  ,Deewana Mastana,Laxmikant-Pyarelal  ,Anand Bakshi ,"Udit Narayan, Vinod Rathod, Kavita Krishnamurthy ", , ,11
"O Mummy mummy, daddy daddy  ",Deewana Mastana,Laxmikant-Pyarelal  ,Anand Bakshi  ,Udit Narayan, , ,29
Tere bina dil lagta nahin  ,Deewana Mastana,Laxmikant-Pyarelal  ,Anand Bakshi  ,"Alka Yagnik, Udit Narayan, Vinod Rathod", , ,7
"Dholna (Kab tak chup baithe, ab to kuchh hai bolna)",Dil To Pagal Hai,Uttam Singh ,Anand Bakshi ,"Lata Mangeshkar, Udit Narayan ", , ,32
Ek duje ke vaaste  ,Dil To Pagal Hai,Uttam Singh ,Anand Bakshi ,"Lata Mangeshkar, Hariharan ", , ,26
Koi ladki hai  ,Dil To Pagal Hai,Uttam Singh ,Anand Bakshi ,"Lata Mangeshkar, Udit Narayan ", , ,21
Jaanam,Ek Phool Teen Kaante,Jatin-Lalit ,Sameer ,"Kumar Sanu, Alka Yagnik ", , ,13
Mushkil bada yeh pyar hai ,Gupt,Viju Shah,Anand Bakshi ,"Alka Yagnik, Udit Narayan", ,8, 
Yeh pyasi mohabbat  ,Gupt,Viju Shah,Anand Bakshi ,Alka Yagnik , , ,30
"Neela dupatta, peela suit",Hamesha ,Anu Malik ,Dev Kohli,"Abhijeet, Alka Yagnik ",Y, , 
Mohabbat ki nahin jati  ,Hero No 1,Anand-Milind ,Sameer ,"Udit Narayan, Sadhana Sargam ", , ,22
Tum hum pe marte ho  ,Hero No 1,Anand-Milind ,Sameer ,"Vinod Rathod, Poornima", , ,33
"Ankhiyañ tu mila le raja, aaye hain din bahaar ke ",Ishq ,Anu Malik ,Dev Kohli ,"Udit Narayan, Abhijeet, Sudesh, Kavita Krishnamurthy, Purnima ",3, , 
Neend churayi meri kis nay,Ishq ,Anu Malik ,Rahat Indori ,"Kumar Sanu, Udit Narayan, Alka Yagnik, Kavita Krishnamurthy ",Y, , 
"Judaai,  judaai (Mujhe ik pal chain…)",Judaai,Nadeem-Shravan ,Sameer ,"Hariharan, Alka Yagnik, Jaspinder Narula",Y, , 
Tera aana tera jana  ,Judwaa,Anu Malik ,Dev Kohli ,"Kavita Krishnamurthy, Kumar Sanu ", , ,19
Tu mere dil mein basja ,Judwaa,Anu Malik ,Sameer ,Anu Malik , , ,38
Khud ko kya samajhti hai?,Khiladi ,‘Jatin-Lalit’ ,Shyam Raj,"Abhijeet, Udit Narayan, Kavita Krishnamurthy, Sapna Mukherjee etc.",Y, , 
Badan juda hote hain  ,Koyla,Rajesh Roshan ,Indeewar ,Kumar Sanu , , ,36
Dekha tujhe to  ,Koyla,Rajesh Roshan ,Indeewar ,"Alka Yagnik, Kumar Sanu ", , ,25
"Ghunghtey mein chanda, phir bhi hai…",Koyla,Rajesh Roshan ,Indeewar ,Udit Narayan etc ,9, , 
Meri jaane jaana,Mohabbat,Nadeem Shravan,Sameer ,"Abhijeet, Kavita Krishnamurthy", ,6, 
Akela hai mr khiladi  ,Mr and Mrs Khiladi,Anu Malik ,Dev Kohli ,"Udit Narayan, Anuradha Paudwal ", , ,27
Jumey ke jumey  ,Mr and Mrs Khiladi,Anu Malik ,Dev Kohli ,"Abhijeet, Poornima", , ,37
Samosey mein aaloo  ,Mr and Mrs Khiladi,Anu Malik ,Dev Kohli ,"Abhijeet, Sapna Mukherjee, Poornima", , ,15
Saadey naal rahogay to aish karogay,Mrityudata ,Anand-Milind ,Sameer ,"Daler Mehndi, Sudesh Bhonsle etc",Y, , 
Chanda sitare  ,Naseeb,Nadeem-Shravan ,Sameer ,"Udit Narayan, Alka Yagnik ", , ,31
Churaa lenge  ,Naseeb,Nadeem-Shravan ,Sameer ,"Kumar Sanu, Anuradha Paudwal ", , ,35
Shikwa nahin kisi se  ,Naseeb,Nadeem-Shravan ,Sameer ,Kumar Sanu , , ,18
Yeh dil deewana  dil,Pardes,Nadeem-Shravan ,Anand Bakshi ,"Hema Sardesai, Shankar Mahadevan, Sonu Nigam", , ,24
"Do dil mil rahey hain, magar chupke-chupke ",Pardes ,Nadeem-Shravan ,Anand Bakshi ,Kumar Sanu ,4, , 
Awara bhanwrey kyoñ hauley-hauley gã-eiñ ,Sapnay,A.R. Rahman ,Javed Akhtar ,"Hema Sardesai, Malaysia Vasudevan",Y, , 
"Dhol bajne laga, gaon sajne laga",Viraasat ,Anu Malik ,Javed Akhtar ,"Udit Narayan, Kavita Krishnamurthy ",10, , 
Churi bajee hai kaheen door  ,Yes Boss,Jatin-Lalit ,Javed Akhtar ,"Udit Narayan, Alka Yagnik ", , ,16
Ek din aap ,Yes Boss,Jatin-Lalit ,Javed Akhtar ,"Kumar Sanu, Alka Yagnik ", , ,4
Suniye to  ,Yes Boss,Jatin-Lalit ,Javed Akhtar ,Abhijeet , , ,9
Hum tumse na kuch  ,Ziddi,Sameer Sen- Dilip Sen ,Sameer ,"Hariharan, Chithra K S", , ,34
